"Issue Type","Key","Created","Summary","Assignee","Reporter","Priority","Status","Resolution","Updated","Description"
"Bug","DSH-5425","2025-03-18T12:41:02.741+0100","BE - Call duration is incorrect in the Survey Answers tab","Unassigned","Teodor Lilov","Normal","Icebox","Unresolved","2025-04-10T09:47:46.649+0200","What happened? In the Survey Answers the call duration of a call is fixed to 1m02s. The property billSec returned by the CampaignSurveyAnswers query have a fixed value of 62s How to reproduce? Step by step. • Login  • Start a campaign   • Complete the campaign  • Visit the “Campaign” section in Dashboard  • Open the “Survey Answers” tab of the completed campaign  Expected behavior? The call duration should be the correct one Additional data: Environment: dev"
"Bug","DSH-5423","2025-03-18T09:46:50.638+0100","[FE] Group name not displayed in Analytics for inbound calls","Jergus Kacmar","Teodor Lilov","Normal","Open","Unresolved","2025-03-25T11:38:20.438+0100","What happened? In case of an inbound call the group name is not indicated in Analytics How to reproduce? Step by step. • Login to Dashboard  • Configure a number’s cfd with a Call to group step  • Assign you user to the group  • Make an inbound call to the configured number  • Open Analaytics  • Visit the Call log tab  Expected behavior? The agent's name and the group through which the call was made should be displayed in the following tabs: Call Log, Agent Report, Tags, and AI Analytics. Additional data: Company ID: 100735 Environment: dev"
"Bug","DSH-5416","2025-03-13T22:16:03.184+0100","Analytics Messages Tab – CSV Export Displays Calls Instead of Messages","Unassigned","Nicoletta Donadio","Normal","Icebox","Unresolved","2025-04-10T09:47:47.193+0200","What happened? When user downnloads the CSV from the Messages tab a list of calls gets downloaded How to reproduce? Step by step. • Go to Messages tab in Analytics  • Click Export → CSV  • Get the CSV by email  • Open the CSV  Expected behavior? It should download data around Text messages. Additional data: Company ID: all Environment: production Screenshot and CSV provided ‌"
"Ticket","DSH-5415","2025-03-13T20:17:56.227+0100","[AN] Agent Name Is Not Displayed In Call Details","Unassigned","Zoltan Viragh","High","Closed","Duplicate","2025-03-24T13:18:43.926+0100","Hi! What happened? • Client reported the recipient agent's name for an inbound call is missing from the respective call's call details page in analytics.  How to reproduce? Step by step. • Unable to, can be inspected by impersonating the client.  Expected behavior? • Recipient agent's name should be displayed in call details.  Company id:272539 MRR at risk:€2 527,00 Call ID:824767709 Link to logs:https://app.datadoghq.eu/logs?query=824767709&agg_m=count&agg_m_source=base&agg_t=count&cols=host%2Cservice&fromUser=true&messageDisplay=inline&refresh_mode=paused&storage=hot&stream_sort=desc&viz=stream&from_ts=1741820400000&to_ts=1741893438564&live=false Could you please take a look? Thanks. Attachmentsimage (1).png image.png • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5413","2025-03-13T17:11:34.980+0100","[AN] Agent Name Isnt Displayed On Missed Outbound Calls","Unassigned","Zoltan Viragh","High","Closed","Done","2025-03-24T09:55:37.784+0100","Hi! What happened? • Client reported missed outbound calls in the tags section of analytics dont display the names of the agents who made said calls.  How to reproduce? Step by step. • Produce a missed outbound call.  • Apply a tag.  • Inspect the same call in the tags section of analytics.  Expected behavior? • The name of the agent who made the call/s should be displayed.  Company id: 295743 MRR at risk:$2 982,00 Link to logs:N/A Recording: https://www.loom.com/share/9d1a841735be4e678352bd7ba6cf90fe?sid=4afc2b1b-fbf1-4c39-bdaa-bc2da17cf7b9 Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Bug","DSH-5408","2025-03-12T21:41:53.301+0100","[Dashboard] Title Added To Contact Name","Unassigned","Zoltan Viragh","Normal","Icebox","Unresolved","2025-04-10T09:47:47.883+0200","Hi! What happened? • Report from Ján Pustay. Titles are being added to contacts' names rather than being kept separate in their own dedicated contact attribute fields like on the legacy dashboard. See attached recording.  How to reproduce? Step by step. • Assign a title to a contact.  • Inspect the name of the contact after saving.  Expected behavior? • Titles should not be added to the names of contacts.  Additional data: N/A Company ID:N/A Environment: Prod Build version: N/A Recording: https://www.loom.com/share/f7f6c5907a124d368bced5f56d0165de?sid=c479ac26-95ab-48b0-a660-86397e7a4b37 Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5407","2025-03-12T20:30:49.486+0100","[AN] Answered Call Logged as Missed","Serhii Shevchenko","Zoltan Viragh","High","Closed","Done","2025-04-08T10:33:40.436+0200","Hi! What happened? • Client reported that an answered inbound call of theirs got logged as a missed call in analytics.  How to reproduce? Step by step. • Impersonate the client.  • Navigate to the call logs tab.  • Filter the specified call ID.  Expected behavior? • Call should have been logged as an answered call.  Company id: 280245 MRR at risk:€8,601.50 Call ID:823653753 Link to logs:https://app.datadoghq.eu/logs?query=823653753&agg_m=count&agg_m_source=base&agg_t=count&cols=host%2Cservice&fromUser=true&messageDisplay=inline&refresh_mode=paused&storage=hot&stream_sort=desc&viz=stream&from_ts=1740783600000&to_ts=1741807787635&live=false Could you please take a look? Thank you. • Please see Zendesk Support tab for further comments and attachments."
"Bug","DSH-5399","2025-03-11T17:17:49.849+0100","FE - Analytics - Purge cache after release","daniel malachovsky","daniel malachovsky","Very high","Closed","Done","2025-04-03T18:39:13.563+0200","What happened? After last release of Analytics FE app was not loading. Incident #inc-630-analytics-cloudtalk-io-not-openning-at-all-11-03-2025 How to reproduce? Step by step. Not 100% reproducible. Just release and the problem may appear. Expected behavior? Application should load after release Add step as in Dashboard to purge cache to stage and prod GHAs https://github.com/CloudTalk-io/dashboard-frontend-monorepo/blob/main/.github/workflows/prod-build.yml#L106  ‌"
"Bug","DSH-5398","2025-03-11T17:10:38.685+0100","FE - Call time does not include seconds in Analytics","Unassigned","Teodor Lilov","Normal","Icebox","Unresolved","2025-04-10T09:47:48.515+0200","What happened? In Analytics, unlike Dashboard, seconds are not included to the time when a call was placed How to reproduce? Step by step. • Login  • Make a call  • Visit Analytics  Expected behavior? The call time should include seconds Additional data: Company ID: 100735 Environment: dev ‌"
"Ticket","DSH-5397","2025-03-11T15:15:22.372+0100","[AN] Cannot Download Call Recordings","Jergus Kacmar","Zoltan Viragh","High","Closed","Done","2025-03-13T10:45:15.425+0100","Hi! What happened? • Client reported they are unable to download call recordings via analytics. The download button is not responsive.  How to reproduce? Step by step. • Log into analytics.  • Attempt to download a recording.  Expected behavior? • User should be prompted to designate where they want to save the recording.  Company id: 213276 MRR at risk:9,759.31 Link to logs: • Please see attached files.  Could you please take a look? Thank you. AttachmentsScreenshot 2025-03-11 at 6.49.42 PM.png Screen Recording 2025-03-11 at 6.47.04 PM.mov analytics.cloudtalk.io-1741690142080.log download recording.har • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5396","2025-03-11T11:24:18.043+0100","Missing ringing time data for outbound calls","Jakub Gawroński","Caroline Da Fonseca","Normal","In Progress","Unresolved","2025-04-10T10:03:05.532+0200","What happened? Customer switching to new dashboard are struggling finding the data they used to download from the legacy one. The issue could be a mix between renaming of columns in new dashboard or change of policy regarding which data gets recorded  How to reproduce? Step by step. Go to call log and download CSV report in both new and legacy dashboard Expected behavior? Specifically for Legacy report(attached with highlighted columns): • (blue)Duration: It is the same as Talking time  • (green) Ringing time refers to the duration between when a call is initiated and when the recipient answers or the call is forwarded to voicemail  • (yellow)Talking time refers to the duration of an active call, measured from the moment the recipient answers until the call is ended  • (pink)Wrap up time refers to the period after a call ends when an agent completes post-call tasks before becoming available for the next call.  New dashboard CSV (attached as well): • Duration: GONE  • (orange)  Waiting time: not sure what is is because is empty 95% of the times. NEW field  • (green) Ringing time: always empty for outbound calls in new dashboard when in legacy is filled  • (yellow) Talking time: all good  • (pink) Wrap up time: all good  Acceptance criteria:  • Fix Ringing time issue in new dashboard for outbound calls  • Investigate what the Waiting time in new dashboard is exactly."
"Ticket","DSH-5393","2025-03-10T21:38:53.102+0100","BE - [Dashboard] Problem with Contact Visibility","daniel malachovsky","Zoltan Viragh","Normal","Open","Unresolved","2025-04-11T10:53:56.324+0200","Hi! What happened? • Client reported that a few agents of theirs cannot see the names of their contacts in call history. Instead their numbers are displayed. The same issue is not present in legacy.  How to reproduce? Step by step. • Unable to.  Expected behavior? • Given that the only restrictions we have for contacts is hiding them altogether this clients' agents should be able to see their contacts names. (They dont have contacts disabled/hidden)  Company id: 138999 MRR at risk:€270,00  Link to logs:Har file attached from Lucia HubocanovaExtension: 1004ID: 251415 Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5392","2025-03-10T18:47:17.041+0100","FE - [Dashboard] Localisation Error in International Call Settings","Unassigned","Zoltan Viragh","Normal","Open","Unresolved","2025-03-28T10:03:03.614+0100","Hi! What happened? • Client reported the label for Svalbard in the international call settings is wrong. See attached screenshot.  How to reproduce? Step by step. • Open international call settings  • Search for Svalbard  Expected behavior? • The correct label should be displayed for the specified country.  Company id: 299175 MRR at risk:$90,00 Link to logs:N/A Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5391","2025-03-10T18:32:24.274+0100","[FE] [AN] Missed Calls Arent Being Marked as Resolved","Jakub Gawroński","Zoltan Viragh","High","Closed","Done","2025-04-11T09:30:24.831+0200","Hi! Follow up to https://cloudtalk.atlassian.net/browse/BIT-2852 - the issue persists. What happened? • Client reported a discrepancy with missed call resolution marking. Specifically, some calls that are marked as resolved missed calls in the legacy dashboard are not marked as such in analytics.  How to reproduce? Step by step. • Unable to.  Expected behavior? • Resolved missed calls should be marked as such everywhere.  Company id: 270245 MRR at risk:€529.00 / Monthly Call IDs:818846235 - https://app.datadoghq.eu/logs?query=818846235&agg_m=count&agg_m_source=base&agg_t=count&clustering_pattern_field_path=message&cols=host%2Cservice&fromUser=true&messageDisplay=inline&refresh_mode=paused&storage=hot&stream_sort=desc&viz=stream&from_ts=1740265200000&to_ts=1741627836523&live=false 818841883 - https://app.datadoghq.eu/logs?query=818841883&agg_m=count&agg_m_source=base&agg_t=count&clustering_pattern_field_path=message&cols=host%2Cservice&fromUser=true&messageDisplay=inline&refresh_mode=paused&storage=hot&stream_sort=desc&viz=stream&from_ts=1740265200000&to_ts=1741627836523&live=false 818745109 - https://app.datadoghq.eu/logs?query=818745109&agg_m=count&agg_m_source=base&agg_t=count&clustering_pattern_field_path=message&cols=host%2Cservice&fromUser=true&messageDisplay=inline&refresh_mode=paused&storage=hot&stream_sort=desc&viz=stream&from_ts=1740265200000&to_ts=1741627836523&live=false 818741043 - https://app.datadoghq.eu/logs?query=818741043&agg_m=count&agg_m_source=base&agg_t=count&clustering_pattern_field_path=message&cols=host%2Cservice&fromUser=true&messageDisplay=inline&refresh_mode=paused&storage=hot&stream_sort=desc&viz=stream&from_ts=1740265200000&to_ts=1741627836523&live=false Found no Kafka errors for this company. Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments.  Steps to reproduce:1) Get an user witch added call steps, and resolved_by information included2) In e.g call logs report there should be viisble that outbound call is resolved by with an icon and tooltip"
"Ticket","DSH-5390","2025-03-10T18:24:08.624+0100","BE - [Dashboard] Tags Missing From Call History","Unassigned","Zoltan Viragh","High","Open","Unresolved","2025-04-10T10:57:08.862+0200","Hi! What happened? • Client reported that a couple of their calls arent displaying their assigned call tags in the call history section of the new dashboard.  How to reproduce? Step by step. • Unable to replicate but can be observed by impersonating the client.  Expected behavior? • A button labeled ""Show X tags"" should be available and clickable next to tagged calls.  Company id: 176481 MRR at risk:€875,00 Link to logs:821373265820667221819510809 Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Bug","DSH-5386","2025-03-10T12:04:45.878+0100","[BE] Agent Report – Handling time Rounding Causes Data Inconsistencies","Roman Hartig","Nicoletta Donadio","Normal","Closed","Cannot Reproduce","2025-03-13T13:41:58.109+0100","What happened? When customers download the Agent Report, the values gets rounded, leading to inconsistencies in total calculations. This affects data accuracy and may cause discrepancies in reporting. How to reproduce? Step by step. Both the old and new Analytics display data in seconds in the Agent Report. So when a customer mentioned during a research call, “You are rounding seconds in the new Analytics,” I initially thought we were showing minutes. Since that’s not the case, I assume she meant that the data simply differs between the two versions. I tried to investigate further but haven’t received the CSV in my email. I’ve attached the customer’s CSV for a specific agent—this should be compared with the new Analytics data to check for discrepancies. Expected behavior? Both report should show the same data in seconds. Additional data: Company ID: ID: 174785 Environment: Production ‌"
"Ticket","DSH-5384","2025-03-05T21:21:38.996+0100","[AN] Incorrect Group Displayed In Call Details","Unassigned","Zoltan Viragh","High","Closed","Won't Do","2025-04-11T09:33:18.877+0200","Hi! What happened? • Client reported the group field in call details in analytics is completely wrong. When using a call to agent step it still displays a random group, when using a call to group step it displays a random group and not the actual recipient group.  How to reproduce? Step by step. • Set up a CFD with a Call To Agent step.  • Produce an inbound call.  • Inspect the call details in analytics.  • Group field should be blank but isnt. Only way to get it to display a blank field is to remove the agent from every group before receiving a call to that call to agent step.  • Set up a CFD with a Call To Group step.  • Produce an inbound call.  • Inspect the call details in analytics.  Expected behavior? • Correct information should be displayed in call details.  Company id: 263889 MRR at risk:€6 385,79 Call IDs:816382181 - Received by Ford UK BM Group, different group is displayed. See attached screenshot.814512425 - Call to agent step was used, group is displayed. See attached screenshot. Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5383","2025-03-05T18:58:03.237+0100","[BE] [AN] Delayed Call Processing","Serhii Shevchenko","Zoltan Viragh","Very high","Closed","Won't Do","2025-04-10T15:18:22.537+0200","Hi! What happened? • Clients are reporting a delay with calls moving over to analytics.  E.g. This call from the L2 account 817719339 took place today at 16:58 CET and appeared in analytics at 18:50 CET How to reproduce? Step by step. • Make a call.  • Wait 2 hours.  • Check analytics.  Expected behavior? • Calls should appear in analytics after a few minutes tops.  Company id: 181997 MRR at risk:4937 Call IDs:817842427817780049 Link to logs:https://app.datadoghq.eu/logs?query=service%3Acall-information-processing%20817719339&agg_m=count&agg_m_source=base&agg_t=count&cols=host%2Cservice&fromUser=true&messageDisplay=inline&refresh_mode=sliding&storage=hot&stream_sort=desc&viz=stream&from_ts=1740592316101&to_ts=1741197116101&live=true Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5382","2025-03-05T15:06:52.513+0100","[AN] Downloaded Recordings are Unplayable","Jergus Kacmar","Zoltan Viragh","High","Closed","Done","2025-03-19T11:44:05.476+0100","Hi! What happened? • Client reported they cant play their recordings after downloading them via AN.  How to reproduce? Step by step. • Log into analytics.  • Download a recording.  • Open the downloaded file.  Expected behavior? • Downloaded files should be playable.  Company id: 213276 MRR at risk:€12,885.75 Link to logs: • Attached HAR file.  Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Bug","DSH-5376","2025-03-05T10:32:14.672+0100","[BE] Tags are not shown on new dashboard for some calls","Unassigned","Roman Hartig","Normal","Icebox","Unresolved","2025-04-10T09:47:49.103+0200","This is extracted dashboard team related part of incoming ticket where it’s shown a use case when a call has set tags but those are not visualized on the new dashboard as decribed in comment . AC • those calls have tags visible in the new dashboard"
"Ticket","DSH-5372","2025-03-03T17:27:06.860+0100","[BE] [Dashboard] Price Conversion Problem in Number Order Form","Roman Hartig","Zoltan Viragh","Normal","Closed","Won't Do","2025-04-11T10:05:29.576+0200","Hi! What happened? • When submitting an order for US numbers the pricing states ""From 5.76 USD"" cause its converting 6 EUR to USD. This shouldn't be happening as we charge 6 EUR and 6USD for US numbers.  How to reproduce? Step by step. • Set your account's currency to USD  • Open the number order form from the Numbers tab of the new dashboard.  • Filter US numbers.  Expected behavior? • We should not be converting EUR to USD  Company id: 295455 MRR at risk:57 Link to logs:N/A Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Bug","DSH-5370","2025-03-03T08:39:57.889+0100","FE - Incorrect call type is displayed in Tags and AI analytics","Unassigned","Teodor Lilov","Normal","Icebox","Unresolved","2025-04-10T09:47:49.730+0200","What happened? If agent filter or group filter is set in Tags or AI analytics, “agent” is displayed in the place of call type  How to reproduce? Step by step. • Login to Analytics  • Open the Tags or AI Analytics tab  • Filter by agent  Expected behavior? The correct call type should be displayed in the table Additional data: Company ID: 100735 Environment: dev‌"
"Bug","DSH-5369","2025-03-03T08:14:26.737+0100","Realtime events are not received in Call monitor","Unassigned","Teodor Lilov","High","Closed","Duplicate","2025-03-13T10:45:22.083+0100","What happened? In Call monitor, active calls events are not received and active calls are not being displayed in the tab How to reproduce? Step by step. • Login  • Open the Call monitor  • Start a call  Expected behavior? Active calls should be displayed on the page Additional data: Company ID: 100735 Environment: dev‌"
"Bug","DSH-5368","2025-02-28T15:52:14.225+0100","[BE] Fix failing integration tests in dashboard-backend","Unassigned","Roman Hartig","Normal","Icebox","Unresolved","2025-04-10T09:47:50.323+0200","https://github.com/CloudTalk-io/dashboard-backend/actions/runs/13588054367/job/37987380440?pr=2682  dashboard-supertest   |   ● AppController (integration tests) › Test dialer module › Test campaigns module › Getting campaigns history calls › should return 2 calls when retrieving history calls with limit
dashboard-supertest   | 
dashboard-supertest   |     expect(received).toHaveLength(expected)
dashboard-supertest   | 
dashboard-supertest   |     Expected length: 3
dashboard-supertest   |     Received length: 0
dashboard-supertest   |     Received array:  []
dashboard-supertest   | 
dashboard-supertest   |       495 |     return AppTestHelper.gqlRequest(this.app)
dashboard-supertest   |       496 |       .send({ query, variables })
dashboard-supertest   |     > 497 |       .expect(({ body }: CampaignDetailsBody) => {
dashboard-supertest   |           |        ^
dashboard-supertest   |       498 |         expect(body.errors).toEqual(undefined);
dashboard-supertest   |       499 |         const results = body.data.campaign.historyCalls.data;
dashboard-supertest   |       500 |         expect(results).toHaveLength(variables.input['limit']);
dashboard-supertest   | 
dashboard-supertest   |       at CampaignsScenario.getCampaignHistoryCallsWithLimit (tests/scenarios/dialer/campaigns/campaigns.scenario.ts:497:8)
dashboard-supertest   |       ----
dashboard-supertest   |       at tests/scenarios/dialer/campaigns/campaigns.scenario.ts:500:25
dashboard-supertest   |       at node_modules/supertest/lib/test.js:308:13
dashboard-supertest   |       at Test._assertFunction (node_modules/supertest/lib/test.js:285:13)
dashboard-supertest   |       at Test.assert (node_modules/supertest/lib/test.js:164:23)
dashboard-supertest   |       at localAssert (node_modules/supertest/lib/test.js:120:14)
dashboard-supertest   |       at node_modules/supertest/lib/test.js:125:7
dashboard-supertest   |       at Test.fn [as callback] (node_modules/superagent/src/node/index.js:913:12)
dashboard-supertest   |       at callback (node_modules/superagent/src/node/index.js:1166:18)
dashboard-supertest   |       at IncomingMessage.fn (node_modules/superagent/src/node/parsers/json.js:19:7)
dashboard-supertest   | 
dashboard-supertest   |   ● AppController (integration tests) › Test dialer module › Test campaigns module › Getting campaigns history calls › should succeed retrieving history calls with offset
dashboard-supertest   | 
dashboard-supertest   |     TypeError: Cannot read properties of undefined (reading 'id')
dashboard-supertest   | 
dashboard-supertest   |       513 |     await AppTestHelper.gqlRequest(this.app)
dashboard-supertest   |       514 |       .send({ query, variables })
dashboard-supertest   |     > 515 |       .expect(({ body }: CampaignDetailsBody) => {
dashboard-supertest   |           |        ^
dashboard-supertest   |       516 |         expect(body.errors).toEqual(undefined);
dashboard-supertest   |       517 |         const results = body.data.campaign.historyCalls.data;
dashboard-supertest   |       518 |         idAt3rdPosition = results[2].id;
dashboard-supertest   | 
dashboard-supertest   |       at CampaignsScenario.getCampaignHistoryCallsWithOffset (tests/scenarios/dialer/campaigns/campaigns.scenario.ts:515:8)
dashboard-supertest   |       at Object.<anonymous> (tests/app.integration-spec.ts:1509:36)
dashboard-supertest   |       ----
dashboard-supertest   |       at tests/scenarios/dialer/campaigns/campaigns.scenario.ts:518:38
dashboard-supertest   |       at node_modules/supertest/lib/test.js:308:13
dashboard-supertest   |       at Test._assertFunction (node_modules/supertest/lib/test.js:285:13)
dashboard-supertest   |       at Test.assert (node_modules/supertest/lib/test.js:164:23)
dashboard-supertest   |       at localAssert (node_modules/supertest/lib/test.js:120:14)
dashboard-supertest   |       at node_modules/supertest/lib/test.js:125:7
dashboard-supertest   |       at Test.fn [as callback] (node_modules/superagent/src/node/index.js:913:12)
dashboard-supertest   |       at callback (node_modules/superagent/src/node/index.js:1166:18)
dashboard-supertest   |       at IncomingMessage.fn (node_modules/superagent/src/node/parsers/json.js:19:7)
dashboard-supertest   | 
dashboard-supertest   |   ● AppController (integration tests) › Test dialer module › Test campaigns module › Getting campaigns history calls › should retrieve history calls filter by contact name
dashboard-supertest   | 
dashboard-supertest   |     TypeError: Cannot read properties of undefined (reading 'id')
dashboard-supertest   | 
dashboard-supertest   |       555 |     return AppTestHelper.gqlRequest(this.app)
dashboard-supertest   |       556 |       .send({ query, variables })
dashboard-supertest   |     > 557 |       .expect(({ body }: CampaignDetailsBody) => {
dashboard-supertest   |           |        ^
dashboard-supertest   |       558 |         expect(body.errors).toEqual(undefined);
dashboard-supertest   |       559 |         const results = body.data.campaign?.historyCalls?.data;
dashboard-supertest   |       560 |         expect(results[0].id).toEqual(258475358);
dashboard-supertest   | 
dashboard-supertest   |       at CampaignsScenario.getCampaignHistoryCallsFilterByContactName (tests/scenarios/dialer/campaigns/campaigns.scenario.ts:557:8)
dashboard-supertest   |       at Object.<anonymous> (tests/app.integration-spec.ts:1520:36)
dashboard-supertest   |       ----
dashboard-supertest   |       at tests/scenarios/dialer/campaigns/campaigns.scenario.ts:560:27
dashboard-supertest   |       at node_modules/supertest/lib/test.js:308:13
dashboard-supertest   |       at Test._assertFunction (node_modules/supertest/lib/test.js:285:13)
dashboard-supertest   |       at Test.assert (node_modules/supertest/lib/test.js:164:23)
dashboard-supertest   |       at localAssert (node_modules/supertest/lib/test.js:120:14)
dashboard-supertest   |       at node_modules/supertest/lib/test.js:125:7
dashboard-supertest   |       at Test.fn [as callback] (node_modules/superagent/src/node/index.js:913:12)
dashboard-supertest   |       at callback (node_modules/superagent/src/node/index.js:1166:18)
dashboard-supertest   |       at IncomingMessage.fn (node_modules/superagent/src/node/parsers/json.js:19:7)
dashboard-supertest   | do it asap so we are sure there is no regression in delivery."
"Ticket","DSH-5363","2025-02-27T18:00:06.954+0100","[BE] Problem with Special Characters","Unassigned","Zoltan Viragh","Normal","Closed","Won't Do","2025-04-11T09:33:36.633+0200","Hi! What happened? • Client attempted to upload a recording that had special characters in the title. The recording failed with ""Invalid Characters Found in Filename""  Characters like šťšťšžšýáťžášľ trigger this error. These characters are accepted by the legacy dashboard though. How to reproduce? Step by step. • Queue a recording for upload.  • Give it a title that has some special characters like ľčľťľžť  Expected behavior? • The recording should be processed and uploaded.  Company id: 297847 MRR at risk:€132,00 Link to logs: • Attached har file and console logs from me replicating the behavior.  Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5362","2025-02-27T17:55:35.629+0100","[FE] Problem with Recording Character Limit [S]","Unassigned","Zoltan Viragh","Normal","Closed","Won't Do","2025-04-11T09:33:49.527+0200","Hi! What happened? • Client attempted to upload a recording that had a title that consisted of over 60 characters. It failed to upload with the following error ""Invalid request""  The limit of 60 characters is known and enforced on the legacy dashboard. You are unable to go over that limit while on the new dashboard you are but the upload fails. How to reproduce? Step by step. • Queue a recording for upload.  • Give it a title that consists of 60+ characters.  Expected behavior? • Users should be unable to go over the 60 characters limit.  Company id: 297847 MRR at risk:€132,00 Link to logs: • Attached har file and console logs from me replicating the behavior.  Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Bug","DSH-5360","2025-02-27T09:48:00.761+0100","Analytics service overloaded in business peaks","Roman Hartig","Roman Hartig","Urgent","Closed","Done","2025-03-21T14:28:26.891+0100","What happened? statistics-api latency is very high during business peaks (dd) How to reproduce? Step by step. randomly happening by customers higher traffic Expected behavior? Analytics should be able to handle high traffic Additional data: Company ID: * Environment: prod AC: • increase statistics-api replicas on prod  • investigate & optimize slowest queries  Note: • hpa should be next step ( )"
"Ticket","DSH-5356","2025-02-26T12:52:45.595+0100","[BE] [AN] Supervisor statistics inconsistencies across the platform","Unassigned","Zendesk Support for Jira","High","Open","Unresolved","2025-03-29T10:01:37.059+0100","Hello team,  What happened?The customer reported that when their Supervisor downloads the report from Call log, all calls are available. Not only those he has access to.  How to reproduce? Step by step.1. Set yourself as a supervisor2. you should have access to the group, everything else is empty3. download the report When replicating this issue on account 168807, I ran into some inconsistencies across the Platform when it comes to available calls for this role.  User: Lucia Mlynarova Extension: 1001 ID: 337377Role: SupervisorAccess to groups: Sami, Group Visibility test, Test Zoli, Test Lucia (estimated- hold announcement)Date range: 1.02.2025 - 26.02.2025Total calls as Admin- no other filters (besides date range): 152Total calls as Supervisor on New Dashboard: 33Total calls as Supervisor on Legacy Dashboard: 55Total calls as Supervisor on Analytics - Call log: 62Total calls when the file is downloaded from call as Supervisor: 151 I have attached a screenshots and the file.  Expected behavior?When looking up the expected behavior, I found this in our documentation:  Users or Groups (Access Settings 1, 2)Access settings 1 and 2 grant access based on users or groups of users. If other settings are left blank, supervisors and analysts will be granted access to calls from all agents entered in setting 1, in addition to calls from any agents that are part of groups entered for setting 2. Settings 1 and 2 work in together with OR logic. This means that access is granted when a supervisor or analyst has access to either a group or a user from that call flow. However, I do not see this being applied.  Company id: 264457MRR at risk:  €8,900.00 / MonthlyLink to logs:Time the problem occurred: (if not precise, please provide a range) Example from customer: Supervisor: Sadak Galib Extension: 1161 ID: 419315Feb 14th, 2025Call log total calls: 1049Report downloaded from Call log by the Supervisor: 2376 Agent report: he has access to 6725 calls  Screenshots and file attached.  ‌Could you please look into this and help me make sense of this? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5352","2025-02-26T10:33:13.409+0100","[FE] Wrong format of numbers in Contacts section","daniel malachovsky","Jan Cienciala","High","Closed","Done","2025-03-12T10:09:56.692+0100","What happened? I got feedback from the teams regarding the format of numbers in contact section in new dashboard. In the old dashboard the number is in international format and configured as hyperlink. This gives you option to either click on the number and application will pop up or use click to call extension to push numbers to smart dialer or use just for 1-1 calling. Neither of these options are not possible in new dashboard because: • the numbers are no longer configured as hyperlink  • the numbers are not in international format too, they have flag instead of prefix and local number, you cannot use it with click to call extension"
"Ticket","DSH-5346","2025-02-25T11:59:28.675+0100","[FE] CI trial banner preventing actions in CFD","daniel malachovsky","Martina Redajova","High","Closed","Done","2025-03-13T10:45:25.423+0100","What happened? AI trial banner is preventing actions (Save button etc.) in Call flow designer in New Dashboard. How to reproduce? Step by step. On the account with enabled CI Trial banner: • Open CFD  • Perform changes in the CFD  • Try saving call flow.  Same behavior can be seen when trying to use Copy call flow feature. Expected behavior? CI banner to not break actions on the CFD page or any other pages.  Company id: 138361 + all other companies affected with CI Trial banner active MRR at risk: 2655€ Link to logs: Time the problem occurred: (if not precise, please provide a range) ‌Please add screenshots or recordings if you have them."
"Ticket","DSH-5330","2025-02-24T23:21:07.474+0100","[AN] (Old) Call Missing from Analytics","Roman Hartig","Zoltan Viragh","High","Closed","Won't Do","2025-03-13T10:45:28.264+0100","Hi! What happened? • Client is looking for a call in analytics. The call took place in 2024. They are specifically trying to access the call via the link exported alongside the call to Zoho. The call took place on 14. Jun 2024 12:25:21 Bratislava  Cannot be located via impersonation either. How to reproduce? Step by step. • Impersonate 160097  • Navigate to the Call Logs tab  • Attempt to filter for this call ID 602361001 from June 2024  Expected behavior? • The exported link should redirect to the call in analytics. The call should be available.  Company id: 160097 MRR at risk:€13 700,55 Link to logs:N/A Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Bug","DSH-5328","2025-02-24T16:39:23.925+0100","Language doesn't get updated - Billing","Unassigned","Caroline Da Fonseca","Normal","Icebox","Unresolved","2025-04-10T09:47:51.013+0200","What happened? The languages on Dashboard don't seem to change for the billing page in the New Dashboard, however it does in the Old Dashboard.  ‌"
